TABLE S1. Data from Adenot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;SMILES-Adenot;SMILES;SMILES-B;Name;BBB-crossing;P-gp;note;E;S;A;B;V;MW;PSA;logP;logD(7.4);No of H donors;No of H Accetors;pKa (Acid);pKa (Base);Iv (Carboxy);(+)Form;(-)Form;(+/-)Form;0Form;No of Rotatable bonds;Distance-Ab;Training or test set;;;;;;
61;CC(C)C1(CC=C)C(=O)NC(=O)NC1=O;CC(C)C1(CC=C)C(=O)NC(=O)NC1=O ;CC(C)C1(CC=C)C(=O)NC(=O)NC1=O ;aprobarbital;1;;;1,17;1,22;0,50;1,26;1,61;210,23;75,27;1,16;1,04;2;5;7,9;-999;0;0,000;0,240;0,000;0,760;3;0,53;Training;;;;;;
62;Clc1cccc(c1Cl)N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1;Clc4cccc(N3CCN(CCCCOc2ccc1CCC(=O)Nc1c2)CC3)c4Cl ;Clc4cccc(N3CCN(CCCCOc2ccc1CCC(=O)Nc1c2)CC3)c4Cl ;aripiprazole;1;;;2,61;2,49;0,17;1,69;3,28;448,38;44,81;4,38;3,96;1;5;999;7,6;0;0,613;0,000;0,000;0,387;7;0,40;Training;;;;;;
63;OC[C@H](O)[C@H]1OC(=O)C(=C1O)O;OCC(O)C1OC(=O)C(=C1O)O ;OCC(O)C1OC(=O)C(=C1O)O ;ascorbic-acid;1;;;1,26;1,60;1,41;1,68;1,11;176,12;107,22;-2,60;-5,75;4;6;4,2;-999;0;0,000;0,999;0,000;0,001;2;1,03;Training;;;;;;
64;CC(=O)Oc1ccccc1C(O)=O;CC(=O)Oc1ccccc1C(O)=O ;CC(=O)Oc1ccccc1C(O)=O ;aspirin;1;;;0,95;1,59;0,49;0,89;1,29;180,16;63,60;1,22;-2,47;1;4;3,5;-999;1;0,000;1,000;0,000;0,000;3;0,30;Training;;;;;;
65;CCN(CC)c1ccc(c(c1)C)NC(=O)c1ccccc1N;CCN(CC)c2ccc(NC(=O)c1ccccc1N)c(C)c2 ;CCN(CC)c2ccc(NC(=O)c1ccccc1N)c(C)c2 ;atolide;1;;;2,04;2,24;0,44;1,42;2,48;297,39;58,36;3,32;3,32;3;4;999;4,7;0;0,002;0,000;0,000;0,998;5;0,27;Training;;;;;;
66;CN1C2CCC1CC(C2)OC(=O)C(C)(CO)c1ccccc1;CN1C2CCC1CC(C2)OC(=O)C(C)(CO)c3ccccc3 ;CN1C2CCC1CC(C2)OC(=O)C(C)(CO)c3ccccc3 ;atromepine;1;;;1,57;1,71;0,30;1,52;2,42;303,40;49,77;1,80;-0,44;1;4;999;9,7;0;0,995;0,000;0,000;0,005;5;0,26;Training;;;;;;
67;C[N+]1([O-])[C@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)c1ccccc1;CN1(=O)C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3 ;CN1(=O)C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3 ;atropine-oxide;1;;;1,20;2,04;0,39;1,16;2,34;305,37;63,60;2,34;2,34;1;5;999;-999;0;0,000;0,000;0,000;1,000;5;0,73;Training;;;;;;
68;CN(C(=O)CNC(=O)[C@@H](N)CCCCN)c1ccc(cc1C(=O)c1ccccc1)Cl;CN(C(=O)CNC(=O)C(N)CCCCN)c1ccc(Cl)cc1C(=O)c2ccccc2 ;CN(C(=O)CNC(=O)C(N)CCCCN)c1ccc(Cl)cc1C(=O)c2ccccc2 ;avizafone;1;;;2,53;3,30;0,94;2,04;3,30;430,93;118,52;-0,03;-3,22;5;7;999;10,6;0;0,999;0,000;0,000;0,001;10;0,37;Training;;;;;;
69;Clc1ccc2c(c1)NC(=O)N2C1CCN(CC1)CC1COc2ccccc2O1;Clc5ccc4n(C1CCN(CC1)CC3COc2ccccc2O3)c(=O)[nH]c4c5 ;Clc5ccc4n(C1CCN(CC1)CC3COc2ccccc2O3)c(=O)[nH]c4c5 ;axamozide;1;;;2,74;2,78;0,36;1,70;2,82;399,87;54,04;4,99;4,21;1;6;999;8,1;0;0,834;0,000;0,000;0,166;3;0,32;Training;;;;;;
70;Nc1ccc(cc1)S(=O)(=O)N1CC2CCC(CC2)C1;Nc1ccc(cc1)S(=O)(=O)N3CC2CCC(CC2)C3 ;Nc1ccc(cc1)S(=O)(=O)N3CC2CCC(CC2)C3 ;azabon;1;;;1,88;2,10;0,36;1,41;2,11;280,39;71,78;2,56;2,56;2;4;999;1,8;0;0,000;0,000;0,000;1,000;2;0,25;Training;;;;;;
71;Fc1ccc(cc1)C(=O)CCCN1CCN2CCCC2C1;Fc1ccc(cc1)C(=O)CCCN3CCN2CCCC2C3 ;Fc1ccc(cc1)C(=O)CCCN3CCN2CCCC2C3 ;azabuperone;1;;;1,42;1,64;0,03;1,59;2,28;290,37;23,55;1,84;1,06;0;3;999;8,1;0;0,834;0,000;0,000;0,166;5;0,31;Training;;;;;;
72;OC(C1CCNCC1)(c1ccccc1)c1ccccc1;OC(C1CCNCC1)(c2ccccc2)c3ccccc3 ;OC(C1CCNCC1)(c2ccccc2)c3ccccc3 ;azacyclonol;1;;;1,94;1,48;0,61;1,47;2,22;267,36;32,26;2,69;1,28;2;2;999;8,8;0;0,962;0,000;0,000;0,038;3;0,76;Training;;;;;;
73;O=C1NCCN1C1CCN(CC[C@H]2COc3ccccc3O2)CC1;O=C1NCCN1C4CCN(CCC3COc2ccccc2O3)CC4 ;O=C1NCCN1C4CCN(CCC3COc2ccccc2O3)CC4 ;azaloxan;1;;;1,98;2,49;0,26;2,04;2,51;331,41;54,04;1,75;0,97;1;6;999;8,1;0;0,834;0,000;0,000;0,166;4;0,24;Training;;;;;;
74;Fc1ccc(cc1)C(=O)CCCN1CCN(CC1)c1ccccn1;Fc1ccc(cc1)C(=O)CCCN2CCN(CC2)c3ccccn3 ;Fc1ccc(cc1)C(=O)CCCN2CCN(CC2)c3ccccn3 ;azaperone;1;;;1,78;1,96;0,00;1,58;2,53;327,40;36,44;2,94;2,53;0;4;999;7,6;0;0,613;0,000;0,000;0,387;6;0,31;Training;;;;;;
75;C1CN2CCc3ccccc3C2CN1;C3CN2CCc1ccccc1C2CN3 ;C3CN2CCc1ccccc1C2CN3 ;azaquinzole;1;;;1,48;1,17;0,32;1,04;1,54;188,27;15,27;0,68;-0,93;1;2;999;9;0;0,975;0,000;0,000;0,025;0;0,35;Training;;;;;;
76;C1CNCc2cc3ccccc3n2C1;C3CNCc2cc1ccccc1n2C3 ;C3CNCc2cc1ccccc1n2C3 ;azepindole;1;;;1,76;1,30;0,28;0,71;1,50;186,25;16,96;2,38;-0,24;1;2;999;10,2;0;0,998;0,000;0,000;0,002;0;0,32;Training;;;;;;
77;CN(CCc1cc2cccc3c2n1c1ccccc1CC3)Cc1ccccc1;CN(CCc2cc3cccc4CCc1ccccc1n2c34)Cc5ccccc5 ;CN(CCc2cc3cccc4CCc1ccccc1n2c34)Cc5ccccc5 ;azipramine;1;;;3,05;2,25;0,00;0,96;3,00;366,50;7,65;6,64;4,94;0;2;999;9,1;0;0,980;0,000;0,000;0,020;5;0,39;Training;;;;;;
78;Fc1ccc(cc1)[C@H]1C[C@@H]2CN(CCN3C(=O)Nc4ccccc4C3=O)C[C@@H]21;Fc1ccc(cc1)C4CC5CN(CCn3c(=O)[nH]c2ccccc2c3=O)CC45 ;Fc1ccc(cc1)C4CC5CN(CCn3c(=O)[nH]c2ccccc2c3=O)CC45 ;balaperidone;1;;;2,54;2,62;0,21;1,74;2,76;379,43;52,65;2,79;0,23;1;5;10,8;10,1;0;0,998;0,000;0,000;0,002;4;0,32;Training;;;;;;
79;CCN(CCO)CCn1c(nc2c1C(=O)N(C)C(=O)N2C)Cc1ccccc1;CCN(CCO)CCn2c(Cc1ccccc1)nc3n(C)c(=O)n(C)c(=O)c23 ;CCN(CCO)CCn2c(Cc1ccccc1)nc3n(C)c(=O)n(C)c(=O)c23 ;bamifylline;1;;;2,38;3,03;0,25;2,58;2,97;385,46;81,91;2,07;0,57;1;8;999;8,9;0;0,969;0,000;0,000;0,031;8;0,61;Training;;;;;;
80;CCC1(CC)C(=O)NC(=O)NC1=O;CCC1(CC)C(=O)NC(=O)NC1=O ;CCC1(CC)C(=O)NC(=O)NC1=O ;barbital;1;;;1,02;1,20;0,49;1,26;1,37;184,19;75,27;0,65;0,53;2;5;7,9;-999;0;0,000;0,240;0,000;0,760;2;0,27;Training;;;;;;
81;CN1CCN(CC1)C1=Nc2cc(ccc2Cc2nc(nn21)C)[I];CN1CCN(CC1)C3=Nc2ccccc2Cc4nc(C)nn34 ;CN1CCN(CC1)C3=Nc2ccccc2Cc4nc(C)nn34 ;batelapine;1;;;2,25;2,03;0,00;2,24;2,27;296,37;49,55;1,73;1,38;0;6;999;7,5;0;0,557;0,000;0,000;0,443;1;0,50;Training;;;;;;
82;ClCCC(=O)NCc1ccccc1;ClCCC(=O)NCc1ccccc1 ;ClCCC(=O)NCc1ccccc1 ;beclamide;1;;;1,01;1,31;0,34;0,62;1,52;197,66;29,10;1,72;1,72;1;2;999;-999;0;0,000;0,000;0,000;1,000;4;0,26;Training;;;;;;
83;C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4(O)C(=O)CO;CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4(O)C(=O)CO;beclomethasone (beclometasone);1;;Adenot names beclometasone;2,31;3,34;0,78;2,07;3,02;408,91;94,83;2,17;2,17;3;5;999;-999;0;0,000;0,000;0,000;1,000;2;0,40;Training;;;;;;
84;COC[C@H]1CN(C(=O)O1)c1ccc(cc1)OCC[C@@H](O)C(F)(F)F;COCC1CN(C(=O)O1)c2ccc(OCCC(O)C(F)(F)F)cc2 ;COCC1CN(C(=O)O1)c2ccc(OCCC(O)C(F)(F)F)cc2 ;befloxatone;1;;;1,09;1,67;0,30;1,46;2,28;349,30;68,23;2,05;2,05;1;6;999;-999;0;0,000;0,000;0,000;1,000;8;0,27;Training;;;;;;
85;CCC1(C)CC(=O)NC(=O)C1;CCC1(C)CC(=O)NC(=O)C1 ;CCC1(C)CC(=O)NC(=O)C1 ;bemegride;1;;;0,72;0,98;0,26;0,89;1,26;155,19;46,17;0,77;0,77;1;3;999;-999;0;0,000;0,000;0,000;1,000;1;0,31;Training;;;;;;
86;CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1;CCN(CC)CCOC(=O)C(O)(c1ccccc1)c2ccccc2 ;CCN(CC)CCOC(=O)C(O)(c1ccccc1)c2ccccc2 ;benactyzine;1;;;1,74;1,95;0,26;1,87;2,68;327,42;49,77;3,46;2,42;1;4;999;8,4;0;0,909;0,000;0,000;0,091;9;0,31;Training;;;;;;
87;Cc1ncc(c(n1)N)CN(C=O)\C(\C)=C(\CCOP(O)(O)=O)/SC(=O)c1ccccc1;CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOP(O)(O)=O)SC(=O)c2ccccc2 ;CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOP(O)(O)=O)SC(=O)c2ccccc2 ;benfotiamine;1;;;2,84;3,92;1,09;3,69;3,30;466,45;191,05;-2,38;-6,02;4;10;1,3;6,1;0;0,000;0,952;0,048;0,000;10;0,52;Training;;;;;;
88;CC(=O)Nc1ccc(cc1)OC(=O)c1ccccc1OC(C)=O;CC(=O)Nc2ccc(OC(=O)c1ccccc1OC(C)=O)cc2 ;CC(=O)Nc2ccc(OC(=O)c1ccccc1OC(C)=O)cc2 ;benorilate;1;;;1,70;2,51;0,38;1,31;2,29;313,30;81,70;1,99;1,99;1;6;999;-999;0;0,000;0,000;0,000;1,000;6;0,38;Training;;;;;;
89;Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)N1C(=O)Nc2ccccc12;Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)n3c(=O)[nH]c4ccccc34 ;Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)n3c(=O)[nH]c4ccccc34 ;benperidol;1;;;2,30;2,46;0,27;1,61;2,86;381,44;52,65;3,38;2,60;1;5;999;8,1;0;0,834;0,000;0,000;0,166;6;0,26;Training;;;;;;
90;O=C1CN=C(c2ccccc2)c2c(sc3c2CCCC3)N1;O=C2CN=C(c1ccccc1)c3c(N2)sc4CCCCc34 ;O=C2CN=C(c1ccccc1)c3c(N2)sc4CCCCc34 ;bentazepam;1;;;2,35;1,56;0,32;1,12;2,19;296,39;69,70;3,09;3,09;1;3;999;3,2;0;0,000;0,000;0,000;1,000;1;0,37;Training;;;;;;
91;Cc1ncc(c(n1)N)CN(C=O)\C(\C)=C(\CCOC(=O)c1ccccc1)/SC(=O)c1ccccc1;CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOC(=O)c2ccccc2)SC(=O)c3ccccc3 ;CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOC(=O)c2ccccc2)SC(=O)c3ccccc3 ;bentiamine;1;;;3,14;3,54;0,35;2,33;3,68;490,57;140,78;1,56;1,54;2;8;999;6,1;0;0,048;0,000;0,000;0,952;11;0,55;Training;;;;;;
92;C[N+](C)([O-])CC\C=C1\c2ccccc2C=Cc2c(cccc\12)Cl;CN(C)(=O)CCC=C2c1ccccc1C=Cc3c(Cl)cccc23 ;CN(C)(=O)CCC=C2c1ccccc1C=Cc3c(Cl)cccc23 ;benzaprinoxide;1;;;1,88;1,69;0,00;0,48;2,54;325,83;17,07;6,34;6,34;0;2;999;-999;0;0,000;0,000;0,000;1,000;3;0,57;Training;;;;;;
93;C(Cc1cn(c2ccccc12)Cc1ccccc1)c1ccncc1;C(Cc2cn(Cc1ccccc1)c3ccccc23)c4ccncc4 ;C(Cc2cn(Cc1ccccc1)c3ccccc23)c4ccncc4 ;benzindopyrine;1;;;2,67;2,10;0,00;0,82;2,54;312,41;17,82;5,83;5,82;0;2;999;5,8;0;0,025;0,000;0,000;0,975;5;0,30;Training;;;;;;
94;CCN(CC)C(=O)C1CN2CCc3cc(c(cc3C2CC1OC(C)=O)OC)OC;CCN(CC)C(=O)C3CN2CCc1cc(OC)c(OC)cc1C2CC3OC(C)=O ;CCN(CC)C(=O)C3CN2CCc1cc(OC)c(OC)cc1C2CC3OC(C)=O ;benzquinamide;1;;;1,73;2,75;0,07;2,24;3,16;404,50;68,31;1,42;1,41;0;7;999;5,9;0;0,031;0,000;0,000;0,969;7;0,43;Training;;;;;;
95;CN1[C@H]2CC[C@@H]1CC(C2)OC(c1ccccc1)c1ccccc1;CN1C2CCC1CC(C2)OC(c3ccccc3)c4ccccc4 ;CN1C2CCC1CC(C2)OC(c3ccccc3)c4ccccc4 ;benztropine (benzatropine);1;;adenot names benzatropine;1,98;1,74;0,00;1,16;2,53;307,43;12,47;4,34;1,54;0;2;999;10,5;0;0,999;0,000;0,000;0,001;4;0,47;Training;;;;;;
96;OCc1ccccc1;OCc1ccccc1 ;OCc1ccccc1 ;benzyl-alcohol;1;;;0,80;0,85;0,40;0,61;0,92;108,14;20,23;1,17;1,17;1;1;999;-999;0;0,000;0,000;0,000;1,000;1;0,32;Training;;;;;;
97;CN1CCc2cc(c(cc2[C@H](C1)c1cc(cc2c1OCC2)Br)O)Cl;CN2CCc1cc(Cl)c(O)cc1C(C2)c3cc(Br)cc4CCOc34 ;CN2CCc1cc(Cl)c(O)cc1C(C2)c3cc(Br)cc4CCOc34 ;berupipam;1;;;2,55;2,25;0,31;1,31;2,61;408,72;32,70;5,34;3,62;1;3;8,5;9,1;0;0,908;0,001;0,072;0,018;1;0,35;Training;;;;;;
98;CCOC(=O)CC(O)CC(O)\C=C\C1=C(c2ccc(cc2)F)c2ccccc2OC21CCCC2;CCOC(=O)CC(O)CC(O)C=CC3=C(c1ccc(F)cc1)c2ccccc2OC34CCCC4 ;CCOC(=O)CC(O)CC(O)C=CC3=C(c1ccc(F)cc1)c2ccccc2OC34CCCC4 ;bervastatin;1;;;2,51;2,43;0,50;1,64;3,54;466,54;75,99;5,63;5,63;2;5;999;-999;0;0,000;0,000;0,000;1,000;9;0,60;Training;;;;;;
99;CC(C)C(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C)C(=O)COC(C)=O;CC(C)C(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC(C)=O ;CC(C)C(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC(C)=O ;betamethasone-acibutate;1;;;1,91;3,31;0,27;2,23;3,79;504,59;106,97;3,41;3,41;1;7;999;-999;0;0,000;0,000;0,000;1,000;7;0,32;Training;;;;;;
100;C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO;CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(OC(=O)c5ccccc5)C(=O)CO ;CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(OC(=O)c5ccccc5)C(=O)CO ;betamethasone-benzoate;1;;;2,65;3,61;0,45;2,10;3,68;496,57;100,90;3,77;3,77;2;6;999;-999;0;0,000;0,000;0,000;1,000;5;0,37;Training;;;;;;
101;O=C1CC2(CCCC2)CC(=O)N1CCNCC1COc2ccccc2O1;O=C2CC1(CCCC1)CC(=O)N2CCNCC4COc3ccccc3O4 ;O=C2CC1(CCCC1)CC(=O)N2CCNCC4COc3ccccc3O4 ;binospirone;1;;;2,01;3,22;0,24;2,06;2,71;358,43;67,87;3,14;1,83;1;6;999;8,7;0;0,952;0,000;0,000;0,048;5;0,52;Training;;;;;;
102;OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21;OC(=O)CCCCC1SCC2NC(=O)NC12 ;OC(=O)CCCCC1SCC2NC(=O)NC12 ;biotin;1;;;1,51;1,74;0,95;1,41;1,75;244,31;103,73;1,24;-1,25;3;5;4,9;-999;1;0,000;0,997;0,000;0,003;5;0,41;Training;;;;;;
103;NCc1ccccc1Sc1ccccc1CO;NCc1ccccc1Sc2ccccc2CO ;NCc1ccccc1Sc2ccccc2CO ;bipenamol;1;;;2,09;1,77;0,65;0,97;1,93;245,34;71,55;1,45;-0,70;3;2;999;9,6;0;0,994;0,000;0,000;0,006;4;0,33;Training;;;;;;
104;Fc1ccc(cc1)C(=O)CCCN1CCN2Cc3[nH]c4ccccc4c3CC2C1;Fc1ccc(cc1)C(=O)CCCN5CCN4Cc3[nH]c2ccccc2c3CC4C5 ;Fc1ccc(cc1)C(=O)CCCN5CCN4Cc3[nH]c2ccccc2c3CC4C5 ;biriperone;1;;;2,71;2,48;0,40;1,97;2,98;391,48;39,34;2,83;0,72;1;4;999;9,5;0;0,992;0,000;0,000;0,008;5;0,69;Training;;;;;;
105;Cc1ncc(c(n1)N)CN(C=O)/C(/C)=C(\CCOC(=O)c1ccccc1)/SS/C(/CCOC(=O)c1ccccc1)=C(\C)/N(Cc1cnc(nc1N)C)C=O;CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOC(=O)c2ccccc2)SSC(CCOC(=O)c3ccccc3)=C(C)N(Cc4cnc(C)nc4N)C=O ;CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOC(=O)c2ccccc2)SSC(CCOC(=O)c3ccccc3)=C(C)N(Cc4cnc(C)nc4N)C=O ;bisbentiamine;1;;;4,86;5,37;0,54;4,10;5,73;770,92;247,42;2,82;2,80;4;14;999;6,1;0;0,048;0,000;0,000;0,952;19;0,51;Training;;;;;;
106;CC(=O)NCCCC(NC(C)=O)C(O)=O;CC(=O)NCCCC(NC(C)=O)C(O)=O ;CC(=O)NCCCC(NC(C)=O)C(O)=O ;bisorcic;1;;;0,70;1,85;1,06;1,46;1,68;216,23;95,50;-2,70;-6,38;3;6;3,5;-999;1;0,000;1,000;0,000;0,000;6;0,29;Training;;;;;;
107;CCN1CCN(CC1)c1cc(c2c(n1)CCCCCC2)c1ccc(cc1)F;CCN1CCN(CC1)c4cc(c2ccc(F)cc2)c3CCCCCCc3n4 ;CCN1CCN(CC1)c4cc(c2ccc(F)cc2)c3CCCCCCc3n4 ;blonanserin;1;;;2,03;1,71;0,00;1,40;2,97;367,50;19,37;5,55;5,14;0;3;999;7,6;0;0,613;0,000;0,000;0,387;3;0,26;Training;;;;;;
108;CCC12CCN(CC3(O)CC3)C(Cc3ccc(cc31)O)C2(C)C;CCC24CCN(CC1(O)CC1)C(Cc3ccc(O)cc23)C4(C)C ;CCC24CCN(CC1(O)CC1)C(Cc3ccc(O)cc23)C4(C)C ;bremazocine;1;;;1,88;2,05;0,71;1,63;2,58;315,45;43,70;3,35;2,22;2;3;10,3;8,5;0;0,925;0,000;0,001;0,073;3;0,48;Training;;;;;;
109;CC1(C)OC(=O)Nc2ccc(cc12)Br;CC1(C)OC(=O)Nc2ccc(Br)cc12 ;CC1(C)OC(=O)Nc2ccc(Br)cc12 ;brofoxine;1;;;1,52;1,38;0,27;0,85;1,52;256,10;38,33;3,23;3,23;1;3;999;-999;0;0,000;0,000;0,000;1,000;0;0,25;Training;;;;;;
110;Brc1ccc2c(c1)C(=NCC(=O)N2)c1ccccn1;Brc3ccc2NC(=O)CN=C(c1ccccn1)c2c3 ;Brc3ccc2NC(=O)CN=C(c1ccccn1)c2c3 ;bromazepam;1;;;2,41;1,79;0,25;1,33;1,94;316,15;54,35;1,90;1,90;1;4;999;3,8;0;0,000;0,000;0,000;1,000;1;0,41;Training;;;;;;
111;CC(C)C(Br)C(=O)NC(N)=O;CC(C)C(Br)C(=O)NC(N)=O ;CC(C)C(Br)C(=O)NC(N)=O ;bromisoval;1;;;0,87;1,54;0,62;0,98;1,36;223,07;72,19;1,05;1,05;3;4;10,8;-999;0;0,000;0,000;0,000;1,000;2;0,51;Training;;;;;;
112;BrC(Br)Br;BrC(Br)Br ;BrC(Br)Br ;bromoform;1;;;0,91;0,72;0,14;0,02;0,77;252,73;0,00;2,41;2,41;0;0;999;-999;0;0,000;0,000;0,000;1,000;0;1,52;Training;;;;;;
113;OC1(CCN(CCCC(=O)c2ccc(cc2)F)CC1)c1ccc(cc1)Br;OC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccc(Br)cc3 ;OC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccc(Br)cc3 ;bromperidol;1;;;2,15;2,05;0,42;1,76;2,85;420,31;40,54;3,53;2,41;1;3;999;8,5;0;0,926;0,000;0,000;0,074;6;0,37;Training;;;;;;
114;Cc1cc(cc(c1O)C(N)=O)Br;Cc1cc(Br)cc(C(N)=O)c1O ;Cc1cc(Br)cc(C(N)=O)c1O ;brosotamide;1;;;1,47;1,65;0,75;0,80;1,35;230,06;63,32;2,54;2,19;3;3;7,3;-999;0;0,000;0,557;0,000;0,443;1;0,49;Training;;;;;;
115;Brc1cccc(c1)C1CC(=O)NC1=O;Brc1cccc(c1)C2CC(=O)NC2=O ;Brc1cccc(c1)C2CC(=O)NC2=O ;brosuximide;1;;;1,67;1,68;0,38;0,97;1,48;254,08;46,17;1,50;1,49;1;3;9,3;-999;0;0,000;0,012;0,000;0,988;1;0,47;Training;;;;;;
116;Cc1nnc2n1c1sc(cc1C(=NC2)c1ccccc1Cl)Br;Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Br)sc2n34 ;Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Br)sc2n34 ;brotizolam;1;;;2,88;2,06;0,00;1,28;2,30;393,69;70,79;4,74;4,74;0;4;999;2;0;0,000;0,000;0,000;1,000;1;0,65;Training;;;;;;
117;NC1=Nc2n(cnc2C(=O)N1)CC[C@@H](O)CO;Nc2nc1n(CCC(O)CO)cnc1c(=O)[nH]2 ;Nc2nc1n(CCC(O)CO)cnc1c(=O)[nH]2 ;buciclovir;1;;;1,97;2,01;1,24;2,35;1,66;239,23;125,76;-1,70;-1,70;5;8;9,4;3,2;0;0,000;0,010;0,000;0,990;4;1,60;Training;;;;;;
118;CC(C)(C)c1ccc(cc1)CN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl;CC(C)(C)c4ccc(CN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3)cc4 ;CC(C)(C)c4ccc(CN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3)cc4 ;buclizine;1;;;2,61;2,15;0,00;1,33;3,55;433,03;6,48;6,47;6,46;0;2;999;5,8;0;0,025;0,000;0,000;0,975;6;0,38;Training;;;;;;
119;CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5)O;COC12CCC3(CC1C(C)(O)C(C)(C)C)C4Cc6ccc(O)c7OC2C3(CCN4CC5CC5)c67 ;COC12CCC3(CC1C(C)(O)C(C)(C)C)C4Cc6ccc(O)c7OC2C3(CCN4CC5CC5)c67 ;buprenorphine;1;;;2,55;2,88;0,55;2,15;3,64;467,64;62,16;4,20;3,06;2;5;9,6;8,5;0;0,921;0,000;0,006;0,073;5;0,42;Training;;;;;;
120;CC(NC(C)(C)C)C(=O)c1cccc(c1)Cl;CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1 ;CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1 ;bupropion;1;;;1,06;1,21;0,29;0,71;1,94;239,74;29,10;3,37;2,96;1;2;999;7,6;0;0,613;0,000;0,000;0,387;4;0,28;Training;;;;;;
121;OCCOC(=O)NCc1ccccc1;OCCOC(=O)NCc1ccccc1 ;OCCOC(=O)NCc1ccccc1 ;buramate;1;;;1,05;1,55;0,67;1,08;1,51;195,21;58,56;1,78;1,78;2;4;999;-999;0;0,000;0,000;0,000;1,000;5;0,27;Training;;;;;;
122;CC(=O)Nc1ccc(cc1)OC(C)(C)C;CC(=O)Nc1ccc(OC(C)(C)C)cc1 ;CC(=O)Nc1ccc(OC(C)(C)C)cc1 ;butacetin;1;;;0,93;1,40;0,27;0,82;1,74;207,27;38,33;2,40;2,40;1;3;999;-999;0;0,000;0,000;0,000;1,000;3;0,39;Training;;;;;;
123;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c34)[C@@H]2C1;CC(C)(C)C3(O)CCN2CC4c1ccccc1CCc5cccc(C2C3)c45 ;CC(C)(C)C3(O)CCN2CC4c1ccccc1CCc5cccc(C2C3)c45 ;butaclamol;1;;;2,38;1,77;0,30;1,39;2,99;361,52;23,47;5,05;3,36;1;2;999;9,1;0;0,980;0,000;0,000;0,020;1;0,67;Training;;;;;;
124;CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2;CCCC(=O)c4ccc3Sc1ccccc1N(CCCN2CCN(C)CC2)c3c4 ;CCCC(=O)c4ccc3Sc1ccccc1N(CCCN2CCN(C)CC2)c3c4 ;butaperazine;1;;;2,55;2,49;0,00;1,76;3,28;409,59;52,09;5,08;4,31;0;4;999;8,1;0;0,834;0,000;0,000;0,166;7;0,29;Training;;;;;;
